datum,žák,předmět,známka
20.3.,Potter,Grafika,1
3.5.,Sněhurka,Grafika,1
2.2.,Horáček,Matematika,5
25.6.,Krakonoš,Zpěv,1
17.4.,Ferda,Programování,2
12.3.,Krakonoš,Čtení,1
13.2.,Bystrozraký,Tělocvik,1
9.3.,Jerry,Programování,1
15.2.,Bob,Čtení,1
3.3.,Krátkozraký,Zeměpis,1
3.2.,Drsoň,Psaní,1
25.2.,Popelka,Psaní,2
27.5.,Ferda,Psaní,1
16.5.,Jerry,Psaní,1
13.5.,Bobek,Tělocvik,2
5.4.,Rumcasj,Programování,2
26.2.,Drsoň,Tělocvik,1
14.4.,Krakonoš,Zpěv,2
27.2.,Popelka,Psaní,1
27.2.,Jasoň,Psaní,2
3.6.,Sněhurka,Zeměpis,1
11.6.,Jasoň,Tělocvik,1
26.4.,Pažout,Čtení,2
17.4.,Karkulka,Programování,1
13.4.,Sněhurka,Zeměpis,1
14.3.,Gump,Čtení,3
16.3.,Krátkozraký,Zeměpis,1
2.2.,Dlouhý,Psaní,3
14.4.,Jasoň,Tělocvik,1
26.5.,Bob,Grafika,1
12.6.,Popelka,Čtení,1
22.5.,Krátkozraký,Zeměpis,1
14.2.,Fantomas,Matematika,3
6.3.,Sněhurka,Psaní,1
3.5.,Bobek,Čtení,1
21.4.,Drsoň,Programování,1
18.3.,Krakonoš,Psaní,1
11.4.,Ferda,Psaní,2
11.5.,Jerry,Čtení,3
22.4.,Rumcasj,Tělocvik,3
19.5.,Popelka,Grafika,1
24.4.,Popelka,Programování,2
7.4.,Jerry,Matematika,1
20.4.,Gump,Tělocvik,1
12.4.,Ferda,Programování,2
20.2.,Zvonilka,Matematika,1
9.3.,Arabela,Grafika,1
24.2.,Dlouhý,Matematika,1
15.2.,Krátkozraký,Zeměpis,1
27.6.,Jasoň,Čtení,1
14.6.,Fantomas,Zeměpis,3
5.4.,Tom,Zpěv,2
14.5.,Nemo,Tělocvik,1
15.3.,Horáček,Tělocvik,2
24.2.,Rumcasj,Grafika,4
